> deslop merged lexicon — one candidate per row. The scanner reports hits; it never rewrites.
> Columns: lang  pattern  category  replacement  note  source
> lang: en | zh   ·   pattern: Python regex (ASCII patterns get \b…\b added automatically)
> category: vocab puffery editorial transition template shape jargon hedge assistant physical
>           borrowed unsettled-term stance opener closer empathy debug violence
> note: when the word is legitimate. A blank note does NOT mean "always wrong" — see SKILL.md.
> source: deslop | shuorenhua | humanizer-zh | natural-talk (first table it entered from)
> Upstream sources of the words themselves: WP:AIVOCAB · Wikipedia:Signs of AI writing ·
> Kobak et al. 2025 (Science Advances 11(27)) · Juzek & Ward 2025 · HN 48905248 ·
> awesome-ai-research-writing · Chinese community lists (Linux.do / X / 即刻).
lang	pattern	category	replacement	note	source
zh	长期主义	jargon	(删)		deslop
zh	(关键)?抓手	jargon	办法 / 入手处		deslop
zh	(作为|充当)[^，。]{0,24}(证明|体现|标志)	puffery	(直接说发生了什么)	象征意义框架；真实的职位或身份用法需人工保留。	deslop
zh	不仅仅是[^，。]{2,20}，而(是)?	shape	(直接说后半句)	否定式排比。	deslop
zh	(行业|多位|一些)?专家(认为|指出|表示)	editorial	(给出姓名、来源或删掉)	没有具体来源时是模糊归因。	deslop
zh	观察者(认为|指出|表示)	editorial	(给出具体的人或删掉)	没有具体来源时是模糊归因。	deslop
zh	尽管存在[^，。]{0,20}挑战	template	(说具体发生了什么)	套话式挑战段落。	deslop
zh	未来(前景|展望|方向)	template	(说明下一步)	空泛的未来段落标题或结尾。	deslop
zh	前景[^，。]{0,4}(光明|广阔|可期)	puffery	(给出计划或数字)	通用积极结论。	deslop
zh	与[^，。]{1,15}保持一致	vocab	(说清楚哪两个东西相同)	可保留，但需要明确两者。	deslop
zh	旨在	vocab	用来	空转的目的框架。	deslop
zh	确保	vocab	(说清楚保证的条件)	只有说明保证条件时才有信息。	deslop
zh	无缝	puffery	(说清楚省掉了哪一步)	流程或产品宣传词；技术术语需人工保留。	deslop
zh	价值沉淀	jargon	(说清楚留下了什么)		deslop
zh	赛道	jargon	方向 / 领域		deslop
zh	护城河	jargon	(说清楚别人为什么追不上)		deslop
zh	组合拳	jargon	(逐项列出)		deslop
zh	打法	jargon	做法		deslop
zh	颗粒度	jargon	粗细 / 精度		deslop
zh	对齐	jargon	一致 / 统一	模型训练的 alignment 是术语。	deslop
zh	深度链接	jargon	(视语境)	若指可点开的 deep link，是术语，不要改。	deslop
zh	深耕	puffery	做了 N 年		deslop
zh	聚焦	puffery	针对 / 只做		deslop
zh	精准发力	puffery	(删)		deslop
zh	全方位	puffery	(列出覆盖了什么)		deslop
zh	多维度	puffery	(列出是哪几个)		deslop
zh	系统性地	puffery	(删)		deslop
zh	极大地	puffery	(给数字)		deslop
zh	显著(提升|改善|增强)	puffery	(给数字)	统计显著性是术语。	deslop
zh	助力	puffery	帮 / (删)		deslop
zh	引领	puffery	(删)		deslop
zh	重塑	puffery	改 / 换掉		deslop
zh	释放(潜力|价值|活力)	puffery	(删)		deslop
zh	激发活力	puffery	(删)		deslop
zh	夯实	puffery	(删)		deslop
zh	筑牢	puffery	(删)		deslop
zh	打造	puffery	做 / 建		deslop
zh	标志着	puffery	(说清楚变了什么)		deslop
zh	奠定(了)?基础	puffery	(删)		deslop
zh	关键转折点	puffery	(说清楚前后差别)		deslop
zh	具有重要意义	puffery	(说清楚有什么用)		deslop
zh	发挥(着)?(关键|重要)作用	puffery	(说清楚做了什么)		deslop
zh	至关重要	puffery	(说清楚少了它会怎样)		deslop
zh	不可或缺	puffery	(同上)		deslop
zh	举足轻重	puffery	(删)		deslop
zh	令人(叹为观止|瞩目|印象深刻)	puffery	(删)		deslop
zh	叹为观止	puffery	(删)		deslop
zh	熠熠生辉	puffery	(删)		deslop
zh	浓墨重彩	puffery	(删)		deslop
zh	波澜壮阔	puffery	(删)		deslop
zh	(生动|完美|深刻)(诠释|揭示|体现)	puffery	说明 / 表明		deslop
zh	淋漓尽致	puffery	(删)		deslop
zh	里程碑	puffery	(说清楚跨过了什么)		deslop
zh	新纪元	puffery	(删)		deslop
zh	应运而生	puffery	(删)		deslop
zh	蓬勃发展	puffery	(给数字)		deslop
zh	方兴未艾	puffery	(删)		deslop
zh	大有可为	puffery	(删)		deslop
zh	在当今[^，。]{0,6}(社会|时代|背景下)	template	(删)		deslop
zh	随着[^，。]{2,12}的(发展|普及|推进)	template	(删，直接说事)		deslop
zh	值得注意的是	editorial	(删，直接说)		deslop
zh	需要指出的是	editorial	(删)		deslop
zh	不难看出	editorial	(删)		deslop
zh	众所周知	editorial	(删)		deslop
zh	综上所述	template	(删)		deslop
zh	总而言之	template	(删)		deslop
zh	总的来说	template	(删)		deslop
zh	一言以蔽之	template	(删)		deslop
zh	不仅如此	transition	(删)		deslop
zh	与此同时	transition	同时 / (删)		deslop
zh	事实上	transition	(删)		deslop
zh	此外	transition	另外 / (删)		deslop
zh	然而	transition	但 / (删)	连用超过两次才算。	deslop
zh	希望(这)?(对你)?有(所)?帮助	assistant	(删)		deslop
zh	你值得	assistant	(删)		deslop
zh	作为一名	assistant	(删)		deslop
zh	进行[一二三四五六七八九十]?次?[^，。]{0,4}(处理|优化|分析|梳理)	vocab	(直接用那个动词)	空转词。	deslop
zh	通过[^，。]{2,10}的方式	vocab	(直接说怎么做)	空转词。	deslop
zh	不是[^，。]{2,20}，(而)?是	shape	(只说后半句)	对偶反转。计数指标。	deslop
zh	不(只|仅)(是)?[^，。]{2,20}，(更|还)(是)?	shape	(只说后半句)	计数指标。	deslop
zh	你以为[^，。]{2,20}，(其实|实际上)	shape	(直接说结论)		deslop
zh	与其说[^，。]{2,20}，不如说	shape	(直接说结论)		deslop
zh	[^，。]{2,20}的本质(是|在于)	shape	(直接说是什么)		deslop
zh	很多人(以为|觉得|认为)	shape	(删，别替读者设定)		deslop
zh	问题不在[^，。]{1,10}，而在	shape	(只说后半句)		deslop
zh	——	shape	(改逗号、冒号或句号)	计数指标。	deslop
zh	判据	vocab	判断的依据 / 判断依据	标题里常显得抬高；不要反向改成「怎么判」，也不要改成「判别方法」，那是流程不是基准。	deslop
zh	范式	vocab	做法 / 模式	科学哲学语境里是术语。	deslop
zh	语境	vocab	场合 / 上下文	语言学里是术语。	deslop
zh	维度	vocab	方面	数学/张量语境里是术语。	deslop
zh	层面	vocab	(删或说具体是哪一层)		deslop
zh	承载	vocab	(视语境)	比「装」「放」好，不要反向改成单字动词。	deslop
zh	赋予	vocab	给		deslop
zh	彰显	puffery	表明 / 说明		deslop
zh	助推	puffery	推动 / (删)		deslop
zh	锚定	vocab	(视语境)	若指 anchor 机制是术语，不要改。	deslop
en	Here'?s the thing	template	(直接说)		deslop
en	The truth is	template	(cut)		deslop
en	Let me be clear	template	(cut)		deslop
en	It turns out	template	(cut)		deslop
en	to be honest	editorial	(cut)		deslop
en	Here'?s (the kicker|where it gets interesting)	template	(cut)		deslop
en	At its core	template	(cut)		deslop
en	At the end of the day	template	(cut)		deslop
en	When it comes to	template	(cut, name the subject)		deslop
en	In a world where	template	(cut)		deslop
en	The reality is	template	(cut)		deslop
en	It bears mentioning	editorial	(cut)		deslop
en	(really|just|literally|genuinely|simply|actually|truly|fundamentally|inherently|inevitably|interestingly|importantly|crucially|remarkably|arguably)	vocab	(cut)	Adverb crutch. Judge per sentence; some are load-free.	deslop
en	serves? as	vocab	is		deslop
en	stands? as	vocab	is		deslop
en	constitutes	vocab	is		deslop
en	represents	vocab	is	Legitimate when something literally stands for another thing.	deslop
en	features	vocab	has	Noun sense (a product feature) is fine.	deslop
en	Full stop\.	template	(cut)		deslop
en	Period\.	template	(cut)		deslop
en	Let that sink in	template	(cut)		deslop
en	Make no mistake	template	(cut)		deslop
en	Here'?s why that matters	template	(cut)		deslop
en	Let'?s (break this down|unpack|dive in)	template	(cut)		deslop
en	Think of it (as|like)	template	(explain it directly)		deslop
en	Imagine a world where	template	(cut)		deslop
en	In this (section|article|post),? (we|I)	template	(cut)		deslop
en	As we'?ll see	template	(cut)		deslop
en	Let me walk you through	template	(cut)		deslop
en	leverag(e|es|ed|ing)	vocab	use	Finance sense (leverage ratio) is fine.	deslop
en	utiliz(e|es|ed|ing)	vocab	use		deslop
en	streamlin(e|es|ed|ing)	vocab	simplify		deslop
en	unpack(s|ed|ing)?	vocab	explain	Literal unpacking, or tuple unpacking, is fine.	deslop
en	deep dive	vocab	analysis		deslop
en	facilitat(e|es|ed|ing)	vocab	help / allow		deslop
en	ecosystem	vocab	system / community	Biology term of art.	deslop
en	profound	puffery	(cut)		deslop
en	paramount	puffery	(cut)		deslop
en	Consequently,	transition	So		deslop
en	Thus,	transition	So		deslop
en	Hence,	transition	So		deslop
en	(Nonetheless|Nevertheless),	transition	Still / But		deslop
en	cultivat(e|es|ed|ing)	vocab	build / encourage	Agriculture sense is fine.	deslop
zh	(这|那)说明	template	(删，上一句已经说完)	段末收尾。ninehills。	deslop
zh	到这里	template	(删)	段末收尾。	deslop
zh	由此可见	template	(删)		deslop
zh	通过以上分析	template	(删)		deslop
zh	(这|那)本身就是	template	(删)		deslop
zh	一句话(总结|概括|讲|落地)	template	(删标签，直接给结论)		deslop
zh	简而言之	template	(删)		deslop
zh	概括来说	template	(删)		deslop
zh	总结一下	template	(删)		deslop
zh	沉淀	jargon	积累 / 留下		deslop
zh	对标	jargon	比照 / 对比		deslop
zh	拉通	jargon	打通 / (说清楚接了什么)		deslop
zh	协同	jargon	配合		deslop
zh	联动	jargon	(说清楚谁跟着谁动)		deslop
zh	洞察	jargon	看法 / 发现		deslop
zh	心智	jargon	印象 / 认知	认知科学里是术语。	deslop
zh	调性	jargon	风格		deslop
zh	战役	jargon	(删，除非真是军事)		deslop
zh	链路	jargon	路径 / 流程	网络/链路层是术语。	deslop
zh	势能	jargon	(删，除非真是物理)		deslop
zh	兜底	jargon	(说清楚谁在什么情况下承担)		deslop
zh	触点	jargon	接触的地方	谨慎档：产品设计里有固定用法。	deslop
zh	卡点	jargon	卡住的地方	谨慎档。	deslop
zh	矩阵	jargon	(视语境)	谨慎档：数学矩阵是术语。	deslop
zh	复盘	jargon	回顾	谨慎档。	deslop
zh	提炼	jargon	归纳	谨慎档。	deslop
zh	接住	physical	(说清楚做了什么)	翻译腔：物理动作用在抽象对象上。	deslop
zh	缓存击穿	unsettled-term	(说明热点键失效后的并发回源)	广泛使用但定义也常被混同；面向圈外人时写出故障机制。	deslop
zh	击穿	physical	(说清楚什么绕过了什么)	物理动作用在抽象对象上。	deslop
zh	打穿	physical	(同上)		deslop
zh	扛住	physical	承受 / 撑住		deslop
zh	锋利	vocab	(删，除非真是刀)		deslop
zh	真拆开看	template	(删)	讲解腔。	deslop
zh	(这|那)背后是	template	(直接说是什么)		deslop
zh	真正(关键的问题|重要的)是	template	(直接说)		deslop
zh	你(要先|得先)明白	template	(删)	训人感。	deslop
zh	先问问是不是	template	(删)		deslop
zh	近年来	template	(删)	开篇套话。	deslop
zh	越来越多的关注	template	(删)		deslop
zh	非常	vocab	很 / (删)		deslop
zh	极其	vocab	很 / (删)		deslop
zh	据(业内人士|知情人士)	editorial	(说清楚是谁)	模糊归属。	deslop
zh	有(评论|观点)认为	editorial	(说清楚是谁)		deslop
zh	据不完全统计	editorial	(给口径)		deslop
zh	归根结底	template	(删)	升华句信号。	deslop
zh	说到底	template	(删)		deslop
zh	这(其实)?(和|跟)[^，。]{2,12}(一样|类似)	shape	(直接给建议)	升华句：把工程观察上升成人生道理。	deslop
zh	(跑出来|说|讲|有|总结出)(两|三|四|五|几)(件事|个点|点|条)[。：]	template	(删，直接说第一件)	枚举前的预告短句。正常人不先报数再枚举。	deslop
zh	压掉	physical	(说清楚做了什么)	物理动词用在抽象对象上。	deslop
zh	砍掉	physical	删掉 / 去掉	同上。	deslop
zh	拉满	physical	(给程度)	同上。	deslop
zh	(打爆|烧穿|拉爆)	physical	(说清楚结果)	同上。	deslop
zh	\btell(?=[。！？；，,])	jargon	特征 / 信号	圈内黑话：写给圈外人时不要直接用工具内部术语。	deslop
zh	\bslop\b	jargon	AI 味 / 套话	同上。除非读者已在这个语境里。	deslop
zh	自扫	vocab	扫它自己 / 用它扫这份文档	自造的双字缩略词。nofluff：造词通常说明思考没完成。	deslop
zh	说中	physical	判断正确 / 说对了	射击动词用在判断上。	deslop
zh	(跑|扫|抓|压|砍|拉|打|接|扛|烧|啃|撕|掰|拧|堵|卡|踩|撑|顶|捞|碾|劈|磨|捏|揪|抠|扒|挖|撬|盘|捋|铺|摊|掀|戳|穿|兜)(掉|住|下|上|开|通|穿|爆|满|齐|平|一遍|出来)	physical	(说清楚做了什么)	一字物理动词＋补语。对象不在物理空间就是比喻，必须换成字面动作。	deslop
zh	(跑|扫|抠|捋|盘)一(遍|下)	physical	运行一次 / 检查一遍	同上。	deslop
zh	命中	physical	报出 / 匹配到	射击动词用在匹配结果上。	deslop
zh	落地	physical	上线 / 做出来 / 交付	极常见，但仍是比喻。说清楚到底发生了什么。	deslop
zh	收口	physical	收尾 / 结束	同上。	deslop
zh	抓手	physical	办法 / 入手处	见 jargon 档。	deslop
zh	打磨	physical	改进 / 修	同上。	deslop
zh	盘活	physical	(说清楚做了什么)	同上。	deslop
zh	撬动	physical	(说清楚用什么带动了什么)	同上。	deslop
zh	埋点	physical	(视语境)	数据采集里是固定术语，不要改。	deslop
zh	回归	borrowed	功能退化 / 实现错误 / 改好之后又坏了	regression 的直译。日常中文里这两个字是别的意思。给实词，别给一句描述。	deslop
zh	收敛	borrowed	稳定下来 / 不再变	同类直译词。只有读者是数学/优化方向的才留。	deslop
zh	泛化	borrowed	推广到别的情况	机器学习里是术语。	deslop
zh	鲁棒	borrowed	不容易坏 / 抗得住	robust 的音译。音译词几乎总该换掉。	deslop
zh	对标	borrowed	比照		deslop
zh	复用	borrowed	重复使用 / 拿来再用	工程口头语，不是普通话。	deslop
zh	实例	borrowed	例子 / 具体的一个	instance 的直译。面向对象语境里才是术语。	deslop
zh	语义	borrowed	意思	语言学/编译器里是术语。	deslop
zh	你	borrowed	(多数情况直接删)	中文可省主语。「你」密集出现多半是英文文档规范的 second person 直接搬过来（Mintlify 等模板就明写 use second person）。文档正文默认删；只在必须跟「别人的」对照时留。对话体、面向单个读者的回信不适用此条。	deslop
zh	值得一提的是	opener	删掉		shuorenhua:Tier 1
zh	不可否认的是	opener	删掉		shuorenhua:Tier 1
zh	不难发现	opener	删掉		shuorenhua:Tier 1
zh	不容忽视	opener	删掉		shuorenhua:Tier 1
zh	让我们一起来看看	opener	删掉		shuorenhua:Tier 1
zh	在当今	opener	删掉或给具体时间	时代/社会/环境下	shuorenhua:Tier 1
zh	随着.{0,12}的不断发展	opener	删掉或说清楚发展了什么		shuorenhua:Tier 1
zh	在这个.{0,12}的时代	opener	删掉		shuorenhua:Tier 1
zh	不得不说	opener	删掉，直接说		shuorenhua:Tier 1
zh	诚然	opener	删掉		shuorenhua:Tier 1
zh	深入探讨	opener	删掉，直接讨论		shuorenhua:Tier 1
zh	具体来说	opener	删掉或简化		shuorenhua:Tier 1
zh	更重要的是	opener	删掉		shuorenhua:Tier 1
zh	深刻的	puffery	说清楚具体影响了什么	影响/意义/变革	shuorenhua:Tier 1
zh	深远的	puffery	同上	影响/意义	shuorenhua:Tier 1
zh	不可磨灭的	puffery	说清楚具体做了什么	贡献/印记	shuorenhua:Tier 1
zh	毋庸置疑	puffery	删掉		shuorenhua:Tier 1
zh	令人惊叹	puffery	给具体数据		shuorenhua:Tier 1
zh	意义非凡	puffery	说清楚什么意义		shuorenhua:Tier 1
zh	前所未有	puffery	给对比数据		shuorenhua:Tier 1
zh	史无前例	puffery	同上		shuorenhua:Tier 1
zh	毫不夸张地说	puffery	删掉		shuorenhua:Tier 1
zh	(?:值得深思|令人深思|引发思考|发人深省)	puffery	删掉，内容本身说话		shuorenhua:Tier 1
zh	不禁让人	puffery	删掉	想到/感叹	shuorenhua:Tier 1
zh	颠覆性	puffery	说清楚改变了什么	的变革/创新	shuorenhua:Tier 1
zh	痛点	jargon	问题		shuorenhua:Tier 1
zh	场景化	jargon	按场景		shuorenhua:Tier 1
zh	降本增效	jargon	省钱提速		shuorenhua:Tier 1
zh	顶层设计	jargon	整体规划		shuorenhua:Tier 1
zh	体感	jargon	感觉、体验		shuorenhua:Tier 1
zh	触达	jargon	到达、联系到		shuorenhua:Tier 1
zh	透传	jargon	传递		shuorenhua:Tier 1
zh	砍一刀	debug	删掉、去掉		shuorenhua:Tier 1
zh	收窄	debug	缩小范围		shuorenhua:Tier 1
zh	避免漂移	debug	别跑偏		shuorenhua:Tier 1
zh	根因	debug	原因、根本原因		shuorenhua:Tier 1
zh	有点满	debug	内容太多了		shuorenhua:Tier 1
zh	(?:更稳|最稳|不稳)	debug	更可靠 / 最可靠 / 不可靠	如果上下文已有指标、技术对象或稳定性结果，不要机械改	shuorenhua:Tier 1
zh	夹具	debug	固定方案、测试数据（说清楚具体指什么）	fixture	shuorenhua:Tier 1
zh	拆开看	debug	分开说、逐个看		shuorenhua:Tier 1
zh	偏硬	debug	太死板		shuorenhua:Tier 1
zh	落盘	debug	保存、写入、记下来	如果宾语是 `代码 / 部署 / 配置 / 文档 / 设计方案` 等具体技术对象，且能复述"写到哪里、做了什么"，先不要机械改 · 用于抽象动作 / 空对象 / 泛化表演时	shuorenhua:Tier 1
zh	已经落下去	debug	已经做了、已经生效	如果上下文已经说清"落到哪个文件 / 哪一版 / 哪个分支"，可以保留 · 不带具体技术对象时	shuorenhua:Tier 1
zh	对上了	debug	吻合、一致		shuorenhua:Tier 1
zh	坐实了	debug	确认了、证实了		shuorenhua:Tier 1
zh	做一个更硬的排除法	debug	用排除法再查一遍		shuorenhua:Tier 1
zh	抓到的现象	debug	发现的问题		shuorenhua:Tier 1
zh	压实	debug	落实、确认好		shuorenhua:Tier 1
zh	收束	debug	收尾、结束		shuorenhua:Tier 1
zh	锁住	debug	固定好、确认		shuorenhua:Tier 1
zh	(?:更硬|硬写)	debug	更死板 / 直接写死（说清楚为什么）		shuorenhua:Tier 1
zh	口径	debug	说法、措辞		shuorenhua:Tier 1
zh	这轮	debug	这次		shuorenhua:Tier 1
zh	能吃	debug	能接受、能处理		shuorenhua:Tier 1
zh	说穿	debug	说白了（删掉，直接说）		shuorenhua:Tier 1
zh	(?:不躲|不藏|不绕|不逃)	debug	删掉，直接说就行		shuorenhua:Tier 1
zh	说人话就是	debug	删掉，直接说		shuorenhua:Tier 1
zh	(?:我不猜|不靠猜|不瞎猜)	debug	删掉，说清楚你掌握了什么信息		shuorenhua:Tier 1
zh	补一刀	violence	再加一点、补充		shuorenhua:Tier 1
zh	(?:更狠|狠一点)	violence	更彻底、更严格		shuorenhua:Tier 1
zh	狠狠干	violence	删掉（AI 硬凹干劲）		shuorenhua:Tier 1
zh	打坏	violence	破坏、损坏		shuorenhua:Tier 1
zh	拍脑门	violence	随便决定（说清楚是谁在随便决定）		shuorenhua:Tier 1
zh	拍板	violence	决定、定了（说清楚谁定的）		shuorenhua:Tier 1
zh	保姆级	puffery	删掉或换成"详细"	教程/攻略	shuorenhua:Tier 1
zh	硬核	puffery	删掉	干货/分析	shuorenhua:Tier 1
zh	干货	puffery	删掉（每篇都说干货等于没说）		shuorenhua:Tier 1
zh	拆解	puffery	分析、讲解		shuorenhua:Tier 1
zh	梳理	puffery	整理		shuorenhua:Tier 1
zh	盘点	puffery	列举、介绍		shuorenhua:Tier 1
zh	(?:避坑|踩坑|不踩坑)	puffery	注意、别犯的错		shuorenhua:Tier 1
zh	一文读懂	puffery	删掉		shuorenhua:Tier 1
zh	万字长文	puffery	删掉		shuorenhua:Tier 1
zh	建议收藏	puffery	删掉		shuorenhua:Tier 1
zh	强烈推荐	puffery	删掉或说清楚为什么推荐		shuorenhua:Tier 1
zh	划重点	puffery	删掉		shuorenhua:Tier 1
zh	绝绝子	puffery	删掉（AI 硬凹网感）		shuorenhua:Tier 1
zh	谁懂啊	puffery	删掉		shuorenhua:Tier 1
zh	真的会谢	puffery	删掉		shuorenhua:Tier 1
zh	姐妹们	puffery	删掉（AI 硬凹人设）		shuorenhua:Tier 1
zh	狠狠	puffery	删掉	XX 了	shuorenhua:Tier 1
zh	真正的\ X\ 不是.{0,12}而是.{0,12}	shape	多数直接说真正成立的判断		shuorenhua:Tier 1
zh	这不仅仅是.{0,12}更是.{0,12}	shape	多数删掉拔高层，保留事实判断		shuorenhua:Tier 1
zh	最后比拼的是.{0,12}	shape	直接说真正决定因素是什么		shuorenhua:Tier 1
zh	总体来看	transition	同上		shuorenhua:Tier 1
zh	换句话说	transition	删掉（说一遍就够了）		shuorenhua:Tier 1
zh	不言而喻	transition	删掉		shuorenhua:Tier 1
zh	可以说	transition	删掉（直接说就行）		shuorenhua:Tier 1
zh	某种程度上	transition	删掉或说清楚什么程度		shuorenhua:Tier 1
zh	从某种意义上说	transition	同上		shuorenhua:Tier 1
zh	在此过程中	transition	删掉		shuorenhua:Tier 1
zh	在这个过程中	transition	删掉		shuorenhua:Tier 1
zh	本质上	transition	删掉或说清楚		shuorenhua:Tier 1
zh	核心在于	transition	直接说		shuorenhua:Tier 1
zh	关键在于	transition	直接说		shuorenhua:Tier 1
zh	由此可以看出	transition	删掉		shuorenhua:Tier 1
zh	与其.{0,12}不如积极拥抱.{0,12}	closer	删掉，不做鸡汤		shuorenhua:Tier 1
zh	只有.{0,12}才能.{0,12}	closer	看上下文，AI 喜欢用这个做总结		shuorenhua:Tier 1
zh	让我们拭目以待	closer	删掉		shuorenhua:Tier 1
zh	未来可期	closer	删掉		shuorenhua:Tier 1
